country,subnational1,umd_tree_cover_density__threshold,umd_tree_cover_extent_2000__ha,whrc_aboveground_biomass_stock_2000__Mg,avg_whrc_aboveground_biomass_2000_Mg_ha-1,gfw_gross_emissions_co2e_all_gases__Mg_yr-1,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg_yr-1,gfw_net_flux_co2e__Mg_yr-1,gfw_gross_emissions_co2e_all_gases_2001__Mg,gfw_gross_emissions_co2e_all_gases_2002__Mg,gfw_gross_emissions_co2e_all_gases_2003__Mg,gfw_gross_emissions_co2e_all_gases_2004__Mg,gfw_gross_emissions_co2e_all_gases_2005__Mg,gfw_gross_emissions_co2e_all_gases_2006__Mg,gfw_gross_emissions_co2e_all_gases_2007__Mg,gfw_gross_emissions_co2e_all_gases_2008__Mg,gfw_gross_emissions_co2e_all_gases_2009__Mg,gfw_gross_emissions_co2e_all_gases_2010__Mg,gfw_gross_emissions_co2e_all_gases_2011__Mg,gfw_gross_emissions_co2e_all_gases_2012__Mg,gfw_gross_emissions_co2e_all_gases_2013__Mg,gfw_gross_emissions_co2e_all_gases_2014__Mg,gfw_gross_emissions_co2e_all_gases_2015__Mg,gfw_gross_emissions_co2e_all_gases_2016__Mg,gfw_gross_emissions_co2e_all_gases_2017__Mg,gfw_gross_emissions_co2e_all_gases_2018__Mg,gfw_gross_emissions_co2e_all_gases_2019__Mg,gfw_gross_emissions_co2e_all_gases_2020__Mg
India,Andaman and Nicobar,0,761084,189162049,249,,,,,,,,,,,,,,,,,,,,,,,
India,Andaman and Nicobar,10,690589,188896487,274,,,,,,,,,,,,,,,,,,,,,,,
India,Andaman and Nicobar,15,688662,188686368,274,,,,,,,,,,,,,,,,,,,,,,,
India,Andaman and Nicobar,20,687428,188539858,274,,,,,,,,,,,,,,,,,,,,,,,
India,Andaman and Nicobar,25,686301,188408418,275,,,,,,,,,,,,,,,,,,,,,,,
India,Andaman and Nicobar,30,684402,188174530,275,550376,2421546,-1871170,978135,1349046,1162755,116391,2246344,446467,427216,858774,508877,462085,61072,327482,311364,774365,31644,90255,152027,60845,98073,544294
India,Andaman and Nicobar,50,675930,186987778,277,546489,2372913,-1826425,976817,1346727,1161646,116033,2238836,445119,422579,856911,506366,459957,60835,324611,308097,754572,31385,88745,150427,59951,95503,524655
India,Andaman and Nicobar,75,646075,181498354,281,525536,2208322,-1682786,967083,1335006,1149959,112429,2187816,437613,399606,841288,487319,440953,59698,312983,300347,679692,28939,76171,135173,52264,80820,425558
India,Andhra Pradesh,0,16004980,256576857,16,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,10,1716644,254248027,148,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,15,1498509,234593595,157,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,20,1410649,225884710,160,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,25,1299843,214702645,165,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,30,1105912,195682851,177,758759,3117891,-2359132,351131,260576,680701,557532,534995,600163,758876,1245969,1152210,437640,1488921,610914,480329,837673,491517,1014936,1269665,917920,853376,630132
India,Andhra Pradesh,50,745727,148957173,200,647781,1990675,-1342895,317038,226389,593386,476414,471772,500757,646078,1084288,1017467,392005,1304280,525375,389820,699604,412540,836521,1095203,749457,700636,516587
India,Andhra Pradesh,75,254490,60997379,240,341106,537674,-196568,249785,164081,385336,294195,334222,297907,377025,679178,650991,254196,734367,324406,157978,268531,161424,284291,455738,265433,276780,206251
India,Arunachal Pradesh,0,8199543,1886291949,230,,,,,,,,,,,,,,,,,,,,,,,
India,Arunachal Pradesh,10,6432835,1858631848,289,,,,,,,,,,,,,,,,,,,,,,,
India,Arunachal Pradesh,15,6371294,1851070606,291,,,,,,,,,,,,,,,,,,,,,,,
India,Arunachal Pradesh,20,6355242,1849075995,291,,,,,,,,,,,,,,,,,,,,,,,
India,Arunachal Pradesh,25,6345321,1847982501,291,,,,,,,,,,,,,,,,,,,,,,,
India,Arunachal Pradesh,30,6307313,1842480088,292,5778646,2849228,2929417,4382807,3612264,3145202,6469680,4724700,4991094,4981517,5810514,4590477,2998896,6324220,7277936,4830380,6760889,6515648,10259779,10166369,6020082,5056059,6654399
India,Arunachal Pradesh,50,6002878,1779132264,296,5644377,2215173,3429204,4339630,3585953,3117926,6374804,4685343,4936301,4927851,5757295,4546576,2963901,6221885,7122648,4688020,6526981,6291675,9941606,9815790,5801196,4842426,6399727
India,Arunachal Pradesh,75,5214282,1596624707,306,5089776,858348,4231428,4135769,3429436,2972297,5992260,4478049,4670841,4674250,5458162,4328647,2781530,5793591,6516841,4053159,5596177,5395819,8664575,8431168,4898919,4076519,5447510
India,Assam,0,7849232,587625753,75,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,10,3164948,584039213,185,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,15,3004213,567716115,189,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,20,2949707,561700450,190,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,25,2865905,552026813,193,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,30,2750134,539011429,196,5959447,8192026,-2232579,3038907,3585329,2514321,5984689,3773620,4112701,5590429,7295599,7272623,4788187,6347171,7470159,3554586,9035265,5642017,11091803,8138774,6534480,5182719,8235560
India,Assam,50,2290018,480720300,210,5658852,6375877,-717025,2953366,3482698,2427036,5777908,3616481,3923028,5372772,7025683,7041365,4560954,6062240,7084048,3317124,8426494,5326521,10483340,7687360,6073250,4857111,7678256
India,Assam,75,1335358,316941309,237,3982931,3104313,878618,2480786,2797441,1954801,4682854,2820155,3073924,4284290,5588222,5651342,3439506,4546826,5371381,2094322,4848743,3389363,6634919,4866178,3644297,2972188,4517072
India,Bihar,0,9423241,64482855,7,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,10,392645,62635328,160,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,15,257626,45627707,177,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,20,233146,42482159,182,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,25,194110,37193854,192,,,,,,,,,,,,,,,,,,,,,,,
India,Bihar,30,153842,31965834,208,26898,427379,-400481,60415,18324,14946,27510,48136,31320,22020,40416,105393,49976,31268,47434,5815,4600,513,2510,15548,4327,1318,6166
India,Bihar,50,87360,21981782,252,19225,216275,-197050,48397,13489,11226,18487,38017,23355,15620,28780,68526,37074,23394,30881,3084,2597,0,1023,14322,3354,925,1944
India,Bihar,75,31623,9213649,291,7644,68507,-60863,21979,5106,5770,5700,13936,10552,6573,13733,15654,16708,11239,16179,709,656,0,94,6511,514,30,1231
India,Chandigarh,0,11812,120090,10,,,,,,,,,,,,,,,,,,,,,,,
India,Chandigarh,10,930,117492,126,,,,,,,,,,,,,,,,,,,,,,,
India,Chandigarh,15,848,109910,130,,,,,,,,,,,,,,,,,,,,,,,
India,Chandigarh,20,809,106208,131,,,,,,,,,,,,,,,,,,,,,,,
India,Chandigarh,25,753,100880,134,,,,,,,,,,,,,,,,,,,,,,,
India,Chandigarh,30,702,96280,137,233,4232,-3999,43,0,0,496,400,1565,1084,571,210,69,144,82,0,0,0,0,0,0,0,0
India,Chandigarh,50,469,67443,144,201,2879,-2678,43,0,0,480,358,1209,1019,549,88,69,122,82,0,0,0,0,0,0,0,0
India,Chandigarh,75,108,16456,153,119,722,-603,0,0,0,393,234,672,653,300,66,0,0,56,0,0,0,0,0,0,0,0
India,Chhattisgarh,0,13543155,698260955,52,,,,,,,,,,,,,,,,,,,,,,,
India,Chhattisgarh,10,3860130,695543918,180,,,,,,,,,,,,,,,,,,,,,,,
India,Chhattisgarh,15,3431974,638086760,186,,,,,,,,,,,,,,,,,,,,,,,
India,Chhattisgarh,20,3276040,615973640,188,,,,,,,,,,,,,,,,,,,,,,,
